Target Name	Label	First Approval Drug	Drug Type	Disease	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003
Prostaglandin F2-alpha receptor	Human/Protein	Latanoprost	Small molecule	Opht	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"PGF2-alpha isopropyl ester": "PMID: 11328719||In the first clinical trial with PGF2α-IE, which had the character of a pilot test, no or a minimal IOP-reducing effect was observed in patients with glaucoma.; PMID: 2751973||Prostaglandin F2 alpha-isopropylester eye drops: effects in normal human eyes. Presented at the 7th International Congress of Eye Research held in Nagoya 25 September - 1 October 1986, and at the International Symposium on Prostaglandins and Related Compounds in Ophthalmology held in Tokyo 2-3 October 1986."}})	?P1	.	.	.	.	P3 (1||{"P3": {"Latanoprost": "NCT00751049; NCT00751062"}})	P3 (1||{"P3": {"Latanoprost": "NCT00751049; NCT00751062"}})	.	.	P4 (1||{"P4": {"Latanoprost": "NDA020597"}})	.	.	.	.	.	.	.
DNA topoisomerase 2-alpha	Human/Protein	Doxorubicin	Small molecule	Cancer	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Daunomycin": "PMID: 4290058||The initial clinical trials of daunomycin were begun at the National Cancer Institute in Milan, Italy. Twenty patients with different forms of cancer received the drug, 16 intravenously and 4 intra-arterially.(1964)"}})	?P1	.	.	.	.	.	.	.	.	P4 (1||{"P4": {"Doxorubicin": "NDA050467"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Substance-P receptor	Human/Protein	Aprepitant	Small molecule	Others	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	?P1	?P1	P2 (1||{"P2": {"Aprepitant": "PMID: 16918326||RP-100893 (dapitant) was developed up to phase II for the treatment of migraine (1994), but then discontinued.; PMID: 12662184"}})	.	.	.	.	P1 (1||{"P1": {"Figopitant": "NCT02199899; NCT02203487"}})	P1 (1||{"P1": {"Figopitant": "NCT02203487"}})	P3 (1||{"P3": {"Aprepitant": "NCT00035048"}})	P3 (2||{"P3": {"Aprepitant": "NCT00035048; NCT00042029; NCT00092196"}, "P2": {"GW 597599": "NCT00048204"}})	P4 (2||{"P4": {"Aprepitant": "NDA021549"}, "P2": {"GW 597599": "NCT00048204"}})
NMDA receptor	Human/Protein	Memantine	Small molecule	Nerve	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	?P1	P2 (1||{"P2": {"Memantine": "NCT00001344"}})	P2 (1||{"P2": {"Memantine": "NCT00001344"}})	P2 (1||{"P2": {"Memantine": "NCT00001344"}})	P2 (1||{"P2": {"Memantine": "NCT00000867; NCT00001344"}})	P2 (1||{"P2": {"Memantine": "NCT00000867; NCT00001344"}})	P2 (1||{"P2": {"Memantine": "NCT00000867; NCT00001344"}})	P2 (1||{"P2": {"Memantine": "NCT00000867; NCT00001344"}})	P2 (1||{"P2": {"Memantine": "NCT00000867; NCT00001344"}})	P2 (1||{"P2": {"Memantine": "NCT00000867; NCT00001344"}})	.	P4 (1||{"P4": {"Memantine": "NDA021487"}})
4-hydroxyphenylpyruvate dioxygenase	Human/Protein	Nitisinone	Small molecule	Metabo	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Nitisinone": "PMID: 28769581||The first clinical use of nitisinone in HT-1 dates back to 1991. (HT-1 only has one target-4-hydroxyphenylpyruvate dioxygenase and one drug Nitisinone. )"}})	?P1	.	.	.	.	.	.	.	.	.	P4 (1||{"P4": {"Nitisinone": "NDA021232"}})	.
cGMP-inhibited 3',5'-cyclic phosphodiesterase	Human/Protein	Anagrelide hydrochloride	Small molecule	Hema	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Cilostazol": "PMID: 11830753||In the early 1980s, the potent antiplatelet (83) and vasodilatory effects (49,82) of cilostazol were demonstrated in clinical studies on various diseases.; PMID: 4074434"}})	?P1	.	.	.	.	.	.	.	.	.	.	P4 (1||{"P4": {"Anagrelide hydrochloride": "NDA020333"}})	.	.	.	.	.	.
Low affinity immunoglobulin epsilon Fc receptor	Human/Protein	Omalizumab	Antibody	Resp	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Omalizumab": "https://en.wikipedia.org/wiki/Omalizumab#History||In 1991, after several rounds of pre-IND (\"investigational new drug\"; PMID: 9062345) meetings with officials/scientists of the FDA, the FDA finally gave a nod for CGP51901 to be tested in human subjects.; PMID:9062345||In 1991-1993, researchers from Ciba-Geigy and Tanox and a leading clinical research group (headed by Stephen Holgate) in the asthma/allergy field ran a successful Phase I human clinical trial of CGP51901 in Southampton, England and showed that the tested antibody is safe."}})	?P1	.	.	.	.	.	.	.	.	.	P3 (2||{"P3": {"Omalizumab": "NCT00232050"}, "P1": {"ST 152": "NCT00046488"}})	P4 (2||{"P4": {"Omalizumab": "BLA103976"}, "P1": {"ST 152": "NCT00046488"}})
Acetylcholinesterase	Human/Protein	Tacrine hydrochloride	Small molecule	Nerve	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Tacrine hydrochloride": "Schneider, Lon S. Tacrine Development Experience: Early Clinical Trials and Enrichment and Parallel Designs.[J]. Alzheimer Disease & Associated Disorders, 1994, 8(2):S12-S21.||The smaller-scale tacrine trials are summarized in Table 1 (the smaller-scale tacrine are summarized in table 1 (Summers et al., 1981,)(12person))"}})	?P1	.	.	.	.	.	.	.	.	P2 (1||{"P2": {"Tacrine hydrochloride": "PMID: 1781288||[Drug Evaluation of Huperzine A in the Treatment of Senile Memory Disorders]"}})	.	P4 (2||{"P1": {"Rivastigmine tartrate": "PMID: 8424849"}, "P4": {"Tacrine hydrochloride": "NDA020070"}})	.	.	.	.	.	.	.	.	.	.
Prostacyclin receptor	Human/Protein	Epoprostenol sodium	Small molecule	Circul	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Epoprostenol sodium": "NCT00004754; PMID: 6130330||A 96h infusion of epoprostenol (prostacyclin) or placebo was given as a treatment for rest pain to 28 patients with severe peripheral arterial disease."}})	?P1	.	.	.	P2 (1||{"P2": {"Epoprostenol sodium": "PMID: 3292596||Epoprostenol (Prostacyclin) in Unstable Angina"}})	.	.	.	.	.	.	P4 (2||{"P4": {"Epoprostenol sodium": "NDA020444"}, "P3": {"Iloprost": "NCT00004786"}})	.	.	.	.	.	.	.	.
Follicle stimulating hormone	Human/Protein	Follitropin alpha	Protein drug	Genit	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Purified urinary follicle-stimulating hormone": "PMID: 3919586||Purified urinary follicle-stimulating hormone was used to induce ovulation in 18 patients with polycystic ovarian syndrome."}})	?P1	.	.	.	.	.	.	.	.	.	.	P4 (1||{"P4": {"Follitropin alpha": "NDA020582"}})	.	.	.	.	.	.
CAMPATH-1 antigen	Human/Protein	Alemtuzumab	Antibody	Cancer	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Alemtuzumab": "https://doi.org/10.1016/B978-0-12-384929-8.00081-2||A fully reshaped humanized version, Campath-1H (human IgG1), was derived by genetic engineering (Riechmann et al., 1988) and is marketed as alemtuzuma (Lemtrada®).; PMID: 2904526||A genetically reshaped human IgG1 monoclonal antibody (CAMPATH-1H) was used to treat two patients with non-Hodgkin lymphoma. Lancet. 1988 Dec 17."}})	?P1	.	.	.	.	.	.	.	.	.	P2 (1||{"P2": {"Alemtuzumab": "NCT00001984"}})	P2 (1||{"P2": {"Alemtuzumab": "NCT00001984"}})	P4 (1||{"P4": {"Alemtuzumab": "BLA103948"}})	.	.
L-type calcium channel	Human/Protein	Verapamil hydrochloride	Small molecule	Circul	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Verapamil hydrochloride": "PMID: 4969551||A controlled double-blind study of verapamil in 16 anginal patients used two dose levels—40 mg. t.d.s. and 120 mg. t.d.s.—and was compared with propranolol 100 mg. t.d.s."}})	?P1	.	.	.	.	.	.	.	.	.	.	.	P4 (1||{"P4": {"Verapamil hydrochloride": "NDA018485"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Aromatase	Human/Protein	Anastrozole	Small molecule	Cancer	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	?P1	P2 (1||{"P2": {"Testolactone": "NCT00001181; PMID: 4884063||Three hundred and nineteen women with advanced and metastatic carcinoma of the breast were treated according to the protocol of the Cooperative Breast Cancer Group with one of three compounds: Δ1‐testololactone, micronized medroxy progesterone acetate or oxylone acetate. The National Cancer Institute has been working with the Cooperative Breast Cancer Group since 1957 to develop potent anticancer agents with minimal undesirable qualities and many steroids have been evaluated clinically in this program."}})	.	.	.	.	.	.	.	.	.	.	.	.	P4 (1||{"P4": {"Anastrozole": "NDA020541"}})	.	.	.	.	.	.	.	.
Voltage-gated sodium channel	Human/Protein	Lamotrigine	Small molecule	Nerve	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Zonisamide": "PMID: 15511695||In the United States, clinical trials of zonisamide began in the early1980s."}})	?P1	.	.	.	.	.	.	.	.	.	.	.	P2 (1||{"P2": {"Lamotrigine": "PMID: 8232944"}})	P4 (1||{"P4": {"Lamotrigine": "NDA020241"}})	.	.	.	.	.	.	.	.	.
ATP-binding cassette sub-family C member 8	Human/Protein	Glibenclamide	Small molecule	Metabo	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Glibenclamide": "PMID: 4898091||Clinical trial of a new sulphonylurea in maturity-onset diabetes--HB419 (glibenclamide)."}})	?P1	.	.	.	.	.	.	.	.	.	.	.	.	.	P4 (1||{"P4": {"Glibenclamide": "NDA017532"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Prostaglandin G/H synthase 2	Human/Protein	Diclofenac sodium	Small molecule	Bone	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1/P2 (1||{"P1/P2": {"Ketoprofen": "PMID: 796936||Zutshi and colleagues (1973) compared ketoprofen 75 mg (rising to 100 mg) daily with a placebo in a double-blind study, involving 50 patients with rheumatoid arthritis"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P4 (1||{"P4": {"Diclofenac sodium": "NDA019201"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
P2Y purinoceptor 12	Human/Protein	Ticlopidine hydrochloride	Small molecule	Nerve	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Ticlopidine hydrochloride": "PMID: 1100310||The effect of this drug was studied on 55 subjects, healthy volunteers and hospitalized patients. The action requires 24 to 48 hr to appear, and lasts more than 3 days. A dose-effect relationship was studied with oral daily doses ranging from 250 to 1,000 mg during 1 wk; it showed a 50% inhibition on adenosine diphosphate (ADP )-induced aggregation at 2 f.LM concentration on an oral daily dose of 450 mg."}})	?P1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P4 (1||{"P4": {"Ticlopidine hydrochloride": "NDA019979"}})	.	.	.	.	.	.	.	.	.	.	.	.
Epidermal growth factor receptor	Human/Protein	Gefitinib	Small molecule	Cancer	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	?P1	?P1	P2 (1||{"P2": {"EMD 55900": "NCT00589706"}})	.	.	.	.	.	.	.	.	.	P3 (1||{"P3": {"Omacor": "NCT01422317"}})	P3 (1||{"P3": {"Omacor": "NCT01422317"}})	P3 (1||{"P3": {"Omacor": "NCT01422317"}})	P3 (1||{"P3": {"Omacor": "NCT01422317"}})	P3 (3||{"P1": {"BIBX 1382": "NCT00003980", "Gefitinib": "NCT00005806"}, "P3": {"Omacor": "NCT01422317"}})	P3 (3||{"P3": {"Gefitinib": "NCT00034879; NCT00635973", "Omacor": "NCT01422317"}, "P1": {"Panitumumab": "NCT00004879"}})	P3 (4||{"P3": {"Erlotinib hydrochloride": "NCT00036647; NCT00047736", "Gefitinib": "NCT00034879; NCT00635973", "Omacor": "NCT01422317"}, "P1": {"Panitumumab": "NCT00004879"}})	P3 (5||{"P2": {"Cetuximab": "NCT00044863", "Panitumumab": "NCT00039273"}, "P3": {"Erlotinib hydrochloride": "NCT00036647; NCT00047736; NCT00633750", "Gefitinib": "NCT00034879; NCT00049543; NCT00635973", "Omacor": "NCT01422317"}})	P4 (6||{"P2": {"Cetuximab": "NCT00044863; NCT00055419", "EMD 72000": "NCT00073541", "Panitumumab": "NCT00039273"}, "P3": {"Erlotinib hydrochloride": "NCT00036647; NCT00047736; NCT00633750"}, "P4": {"Gefitinib": "NDA021399"}, "P1/P2": {"HuMax-EGFR": "NCT00093041"}})
T-type calcium channel	Human/Protein	Zonisamide	Small molecule	Nerve	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Zonisamide": "PMID: 15511695||In the United States, clinical trials of zonisamide began in the early1980s."}})	?P1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P4 (1||{"P4": {"Zonisamide": "NDA020789"}})	.	.	.
Estrogen receptor	Human/Protein	Tamoxifen Citrate	Small molecule	Cancer	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"MER 25": "doi:10.1001/jama.1963.73700240008012||MER-25, an antiestrogen as tested on animals,11 was first released for clinical trials in 1957 and administered to postmenopausal women with cancer of the breast and endometrium; PMID: 2194650"}})	?P1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P4 (1||{"P4": {"Tamoxifen Citrate": "NDA017970"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Antithrombin-III	Human/Protein	Enoxaparin	Small molecule	Circul	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	?P1	?P1	P2 (1||{"P2": {"Enoxaparin": "PMID: 4568221||Heparin treatment reduced the rate of venous thrombosis from 19 of 118 patients (16.1 per cent) to two of 108 (1.9 per cent) treated after elective surgery, from 11 of 23 untreated (48 per cent) to three of 23 (13 per cent) treated after hip fracture, and from nine of 40 (22.5 per cent) to one of 38 (2.6 per cent) treated patients admitted to the hospital for suspected myocardial infarction. Thrombosis occurred in 21.5 per cent of the total of 181 untreated and in 3.6 per cent of 169 heparin-treated patients."}})	.	.	.	.	.	.	.	.	.	.	P3 (1||{"P3": {"Enoxaparin": "PMID: 1963022||Prevention of Thromboembolic Disease in General Surgery With Enoxaparin (Clexane)"}})	P3 (1||{"P3": {"Enoxaparin": "PMID: 1963022||Prevention of Thromboembolic Disease in General Surgery With Enoxaparin (Clexane)"}})	P3 (1||{"P3": {"Enoxaparin": "PMID: 1963022||Prevention of Thromboembolic Disease in General Surgery With Enoxaparin (Clexane)"}})	P3 (1||{"P3": {"Enoxaparin": "PMID: 1963022||Prevention of Thromboembolic Disease in General Surgery With Enoxaparin (Clexane)"}})	P3 (2||{"P3": {"Enoxaparin": "PMID: 1963022||Prevention of Thromboembolic Disease in General Surgery With Enoxaparin (Clexane)", "Unfractionated heparin": "PMID: 2905187||Comparison of a Low Molecular Weight Heparin and Unfractionated Heparin for the Prevention of Deep Vein Thrombosis in Patients Undergoing Abdominal Surgery. The European Fraxiparin Study (EFS) Group"}})	P3 (1||{"P3": {"Enoxaparin": "PMID: 1963022||Prevention of Thromboembolic Disease in General Surgery With Enoxaparin (Clexane)"}})	P3 (1||{"P3": {"Enoxaparin": "PMID: 1963022||Prevention of Thromboembolic Disease in General Surgery With Enoxaparin (Clexane)"}})	.	P2 (1||{"P2": {"Enoxaparin": "PMID: 1329919||The Low Molecular Weight Heparin Enoxaparin Inhibits the Consumption of Factor VII and Prothrombin Activation in Vivo Associated With Elective Knee Replacement Surgery"}})	P4 (2||{"P4": {"Enoxaparin": "FDA; NDA020164"}, "P3": {"Tinzaparin sodium": "NCT00628576"}})	.	.	.	.	.	.	.	.	.	.
DNA topoisomerase 1	Human/Protein	Irinotecan	Small molecule	Cancer	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Camptothecin": "PMID 1312588||Topotecan is the first topoisomerase I-targeting agent to enter clinical development in the United States since studies of sodium camptothecin over 2 decades ago.; PMID 5081595||During the late 1960s, phase I trials of the parent drug, sodium camptothecin, demonstrated objective antineoplastic activity against gastrointestinal adenocarcinoma, melanoma, non-small cell lung cancer, and acute myelogenous leukemia.; PMID 5081595||Phase I clinical trial of weekly and daily treatment with camptothecin (NSC-100880): correlation with preclinical studies."}})	?P1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Topotecan": "NCT00001333; NCT00002537"}})	P1 (1||{"P1": {"Topotecan": "NCT00001333; NCT00002537"}})	P2 (3||{"P2": {"IDEC 132": "NCT00001427; NCT00251368"}, "P1": {"Irinotecan": "NCT00001495", "Topotecan": "NCT00001333; NCT00002537; NCT00002625"}})	P4 (3||{"P2": {"IDEC 132": "NCT00001427; NCT00251368"}, "P4": {"Irinotecan": "NDA020571", "Topotecan": "NDA020671"}})	.	.	.	.	.	.	.
Catechol O-methyltransferase	Human/Protein	Tolcapone	Small molecule	Nerve	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"GPA 1714": "PMID: 1103160||Of additional interest is the fact that GPA-1714 has sedative effects on animals but has no antihistaminic or anticholinergic effects. Because of these wide-ranging implications, a clinical trial of GPA-1714 was undertaken to assess its possible activity and safety. Eleven male patients were selected from the research wards, The trial began with a four-week drug-free period during which placebo.; PMID: 4561199"}})	?P1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P2 (1||{"P2": {"Entacapone": "PMID: 9392574"}})	P4 (2||{"P2": {"Entacapone": "PMID: 9818851"}, "P4": {"Tolcapone": "NDA020697"}})	.	.	.	.	.
Plasminogen	Human/Protein	Alteplase	Protein drug	Nerve	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Streptokinase": "PMID: 17948083||In 1958, Sherry and others started using streptokinase in patients with acute myocardial infarction and changed the focus of treatment from palliation to \"cure\"."}})	?P1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P3 (1||{"P3": {"Streptokinase": "NCT00000503||Randomized Clinical Trial of Non-Surgical Reperfusion of the Coronary Arteries"}})	P3 (1||{"P3": {"Streptokinase": "NCT00000503||Randomized Clinical Trial of Non-Surgical Reperfusion of the Coronary Arteries"}})	P3 (1||{"P3": {"Streptokinase": "NCT00000503||Randomized Clinical Trial of Non-Surgical Reperfusion of the Coronary Arteries"}})	P3 (1||{"P3": {"Streptokinase": "NCT00000503||Randomized Clinical Trial of Non-Surgical Reperfusion of the Coronary Arteries"}})	P3 (1||{"P3": {"Streptokinase": "NCT00000503||Randomized Clinical Trial of Non-Surgical Reperfusion of the Coronary Arteries"}})	P4 (2||{"P4": {"Alteplase": "BLA103172"}, "P3": {"Streptokinase": "NCT00000503||Randomized Clinical Trial of Non-Surgical Reperfusion of the Coronary Arteries"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Carbonic anhydrase 2	Human/Protein	Dorzolamide hydrochloride	Small molecule	Opht	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Chlorothiazide": "PMID:14477425||Ten healthy male subjects were subjected to a controlled double blind study to test the hypothesis that the efficacy of chlorothiazide is a function of dosage regimen phase1 1961."}})	?P1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P2 (1||{"P2": {"Dorzolamide hydrochloride": "PMID: 8406063||Two Topical Carbonic Anhydrase Inhibitors Sezolamide and Dorzolamide in Gelrite Vehicle: A Multiple-Dose Efficacy Study"}})	P4 (1||{"P4": {"Dorzolamide hydrochloride": "NDA020408"}})	.	.	.	.	.	.	.	.	.
Peroxisome proliferator-activated receptor alpha	Human/Protein	Clofibrate	Small molecule	Metabo	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"2-phenylbutyric acid": "https://en.wikipedia.org/wiki/Fibrate||Although used clinically since the 1930s, if not earlier, the mechanism of action of fibrates remained unelucidated until, in the 1990s, it was discovered that fibrates activate PPAR (peroxisome proliferator-activated receptors), especially PPARα.; PMID: 20393155||The first fibrates were synthesized in the mid-1950s. Their clinical development came from the observation, in 1953, of researchers in France that, among 80 synthesized structures derived from dehydrocholic acid, phenylethyl acetic acid and certain other disubstituted acetic acids exhibited hypocholesterolemic properties in rats and humans.; PMID: 13141149||Clinical trials on the hypocholesteremia-producing effect of 2-phenylbutyric acid."}})	?P1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P4 (1||{"P4": {"Clofibrate": "NDA016099"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Tumor necrosis factor	Human/Protein	Etanercept	Protein drug	Bone	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Thalidomide": "PMID: 18332230||Chemie Gru¨nenthal, a German pharmaceutical company, introduced thalidomide (N-[phthalimido] glutarimide) into the market as a sedative on October 1, 1957."}})	?P1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P2/P3 (2||{"P2/P3": {"Infliximab": "NCT00269854"}, "P2": {"Thalidomide": "NCT00001446"}})	P2/P3 (2||{"P2/P3": {"Infliximab": "NCT00269854"}, "P2": {"Thalidomide": "NCT00001446"}})	P2/P3 (2||{"P2/P3": {"Etanercept": "NCT03780959"}, "P2": {"Thalidomide": "NCT00001446"}})	P4 (4||{"P4": {"Etanercept": "BLA103795", "Infliximab biosimilar IXIFI": "BLA103772", "Infliximab": "BLA103772", "Thalidomide": "NDA020785"}})	.	.	.	.	.
Histamine H1 receptor	Human/Protein	Terfenadine	Small molecule	Immu	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Antergan": "PMID: 10444205; https://onlinelibrary.wiley.com/doi/full/10.1046/j.1365-2222.1999.00004.x-i1||The paper provides a historical overview of the discovery of both histamine and the H1 antihistamines. This compound antergan (N1N dimethyl‐N1‐benzyl‐N‐phenyl‐ethylenediamine), described by Halpern in 1942 was the first antihistamine used clinically in man.; Halpern B N. Les antihistaminiques de synthèse: Essai de chimiothérapie des états allergiques[J]. 1942, 68:339-408."}})	?P1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P4 (1||{"P4": {"Terfenadine": "FDA"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
